source,target,player_list,player_count,goals,value
Boston 2024,Boston 2024-2025,"['Amanda Pelkey', 'Jessica DiGirolamo', 'Emily Brown', 'Jamie Lee Rattray', 'Hannah Brandt', 'Sophie Shirley', 'Emma Söderberg', 'Kelly Babstock', 'Sidney Morin', 'Megan Keller', 'Theresa Schafzahl', 'Alina Müller', 'Aerin Frankel', 'Loren Gabel', 'Hilary Knight']",15,36,36
Minnesota 2024,Boston 2024-2025,"['Susanna Tapani', 'Emma Greco']",2,2,2
Ottawa 2024,Ottawa 2024-2025,"['Samantha Isbell', 'Shiann Darkangelo', 'Tereza Vanišová', 'Emerance Maschmeyer', 'Brianne Jenner', 'Jincy Roese', 'Aneta Tejralová', 'Zoe Boyd', 'Natalie Snodgrass', 'Kateřina Mrázová', 'Emily Clark', 'Gabbie Hughes', 'Ashton Bell']",13,33,33
Minnesota 2024,Minnesota 2024-2025,"['Sophie Jaques', 'Taylor Heise', 'Grace Zumwinkle', 'Mellissa Channell-Watkins', 'Maggie Flaherty', 'Lee Stecklein', 'Claire Butorac', 'Michela Cava', 'Liz Schepers', 'Maddie Rooney', 'Kendall Coyne Schofield', 'Denisa Křížová', 'Kelly Pannek', 'Brooke Bryant', 'Nicole Hensley', 'Natalie Buchbinder']",16,42,42
Ottawa 2024,Boston 2024-2025,['Lexie Adzija'],1,1,1
Boston 2024,New York 2024-2025,['Taylor Girard'],1,4,4
Minnesota 2024,Montréal 2024-2025,"['Abby Boreen', 'Clair DeGeorge']",2,4,4
Montréal 2024,Boston 2024-2025,['Jillian Dempsey'],1,1,1
Montréal 2024,Montréal 2024-2025,"['Kennedy Marchment', 'Laura Stacey', 'Maureen Murphy', 'Catherine Dubois', 'Mariah Keopple', 'Ann-Renée Desbiens', 'Gabrielle David', 'Claire Dalton', 'Marie-Philip Poulin', 'Kati Tabin', 'Catherine Daoust', 'Erin Ambrose', 'Elaine Chuli', 'Dominika Lásková', ""Kristin O'Neill""]",15,45,45
Montréal 2024,Minnesota 2024-2025,['Marlène Boissonnault'],1,0,0
Ottawa 2024,Montréal 2024-2025,"['Amanda Boulier', 'Mikyla Grant-Mentis', 'Sandra Abstreiter']",3,2,2
New York 2024,New York 2024-2025,"['Chloé Aurard-Bushee', 'Jessie Eldridge', 'Abby Roque', 'Micah Zandee-Hart', 'Alex Carpenter', 'Jaime Bourbonnais', 'Élizabeth Giguère', 'Abbey Levy', 'Brooke Hobson', 'Jade Downie-Landry', 'Taylor Baker', 'Jill Saulnier', 'Ella Shelton', 'Corinne Schroeder', 'Kayla Vespa', 'Paetyn Levis']",16,49,49
New York 2024,Boston 2024-2025,['Olivia Zafuto'],1,0,0
New York 2024,Minnesota 2024-2025,['Claire Thompson'],1,0,0
New York 2024,Toronto 2024-2025,['Emma Woods'],1,2,2
New York 2024,Montréal 2024-2025,['Alexandra Labelle'],1,1,1
Ottawa 2024,Toronto 2024-2025,"['Hayley Scamurra', 'Daryl Watts', 'Savannah Harmon']",3,18,18
